itemID,name_item,tier,cannot_merge,sell_price,energy_cost,time_point
100101,Drink Generator,1,false,0,0.0,0
100102,Drink Generator,2,false,0,0.0,0
100103,Drink Generator,3,false,0,0.0,0
100104,Drink Generator,4,false,0,0.0,0
100105,Drink Generator,5,false,0,0.0,0
100106,Drink Generator,6,false,0,0.0,0
100107,Drink Generator,7,false,0,0.0,0
100108,Drink Generator,8,false,0,0.0,0
100109,Drink Generator,9,true,0,0.0,0
100201,Fruit and Sugar Generator,1,false,0,0.0,0
100202,Fruit and Sugar Generator,2,false,0,0.0,0
100203,Fruit and Sugar Generator,3,false,0,0.0,0
100204,Fruit and Sugar Generator,4,false,0,0.0,0
100205,Fruit and Sugar Generator,5,false,0,0.0,0
100206,Fruit and Sugar Generator,6,false,0,0.0,0
100207,Fruit and Sugar Generator,7,false,0,0.0,0
100208,Fruit and Sugar Generator,8,false,0,0.0,0
100209,Fruit and Sugar Generator,9,true,0,0.0,0
100301,Protein Generator,1,false,0,0.0,0
100302,Protein Generator,2,false,0,0.0,0
100303,Protein Generator,3,false,0,0.0,0
100304,Protein Generator,4,false,0,0.0,0
100305,Protein Generator,5,false,0,0.0,0
100306,Protein Generator,6,false,0,0.0,0
100307,Protein Generator,7,false,0,0.0,0
100308,Protein Generator,8,false,0,0.0,0
100309,Protein Generator,9,true,0,0.0,0
100401,Vegetable Generator,1,false,0,0.0,0
100402,Vegetable Generator,2,false,0,0.0,0
100403,Vegetable Generator,3,false,0,0.0,0
100404,Vegetable Generator,4,false,0,0.0,0
100405,Vegetable Generator,5,false,0,0.0,0
100406,Vegetable Generator,6,false,0,0.0,0
100407,Vegetable Generator,7,false,0,0.0,0
100408,Vegetable Generator,8,false,0,0.0,0
100409,Vegetable Generator,9,true,0,0.0,0
100501,Seafood Generator,1,false,0,0.0,0
100502,Seafood Generator,2,false,0,0.0,0
100503,Seafood Generator,3,false,0,0.0,0
100504,Seafood Generator,4,false,0,0.0,0
100505,Seafood Generator,5,false,0,0.0,0
100506,Seafood Generator,6,false,0,0.0,0
100507,Seafood Generator,7,false,0,0.0,0
100508,Seafood Generator,8,false,0,0.0,0
100509,Seafood Generator,9,true,0,0.0,0
200101,Juicer,1,false,0,0.0,0
200102,Juicer,2,false,0,0.0,0
200103,Juicer,3,false,0,0.0,0
200104,Juicer,4,false,0,0.0,0
200105,Juicer,5,false,0,0.0,0
200106,Juicer,6,false,0,0.0,0
200107,Juicer,7,false,0,0.0,0
200108,Juicer,8,false,0,0.0,0
200109,Juicer,9,true,0,0.0,0
200201,Chef Counter,1,false,0,0.0,0
200202,Chef Counter,2,false,0,0.0,0
200203,Chef Counter,3,false,0,0.0,0
200204,Chef Counter,4,false,0,0.0,0
200205,Chef Counter,5,false,0,0.0,0
200206,Chef Counter,6,false,0,0.0,0
200207,Chef Counter,7,false,0,0.0,0
200208,Chef Counter,8,false,0,0.0,0
200209,Chef Counter,9,true,0,0.0,0
200301,Grill,1,false,0,0.0,0
200302,Grill,2,false,0,0.0,0
200303,Grill,3,false,0,0.0,0
200304,Grill,4,false,0,0.0,0
200305,Grill,5,false,0,0.0,0
200306,Grill,6,false,0,0.0,0
200307,Grill,7,false,0,0.0,0
200308,Grill,8,false,0,0.0,0
200309,Grill,9,true,0,0.0,0
200401,Pan,1,false,0,0.0,0
200402,Pan,2,false,0,0.0,0
200403,Pan,3,false,0,0.0,0
200404,Pan,4,false,0,0.0,0
200405,Pan,5,false,0,0.0,0
200406,Pan,6,false,0,0.0,0
200407,Pan,7,false,0,0.0,0
200408,Pan,8,false,0,0.0,0
200409,Pan,9,true,0,0.0,0
200501,Oven,1,false,0,0.0,0
200502,Oven,2,false,0,0.0,0
200503,Oven,3,false,0,0.0,0
200504,Oven,4,false,0,0.0,0
200505,Oven,5,false,0,0.0,0
200506,Oven,6,false,0,0.0,0
200507,Oven,7,false,0,0.0,0
200508,Oven,8,false,0,0.0,0
200509,Oven,9,true,0,0.0,0
300101,Gold,1,false,0,0.0,0
300102,Gold,2,false,0,0.0,0
300103,Gold,3,false,0,0.0,0
300104,Gold,4,false,0,0.0,0
300105,Gold,5,true,0,0.0,0
300201,Energy,1,false,0,0.0,0
300202,Energy,2,false,0,0.0,0
300203,Energy,3,false,0,0.0,0
300204,Energy,4,false,0,0.0,0
300205,Energy,5,true,0,0.0,0
300301,Diamond,1,false,0,0.0,0
300302,Diamond,2,false,0,0.0,0
300303,Diamond,3,false,0,0.0,0
300304,Diamond,4,false,0,0.0,0
300305,Diamond,5,true,0,0.0,0
400101,Blueberry Jam,1,true,0,1.25,165
400102,Strawberry jam,2,true,0,2.5,330
400103,Orange  Marmalade,3,true,0,5,645
400104,Apple Jam,4,true,0,10,1305
400105,Yogurt Strawberry Blueberry,5,true,1,43.75,5685
400106,Yogurt Banana Strawberry,6,true,1,62.5,8130
400107,Sunrise Mango Lassi,7,true,10,421,54735
400108,Yogurt Juice mix,8,true,26,1000,130005
400109,Lemon Jam,9,true,4,160,20805
400201,Blueberry Juice,1,true,0,1.25,165
400202,Strawberry Juice,2,true,0,2.5,330
400203,Orange Juice,3,true,0,5,645
400204,Apple Juice,4,true,0,10,1305
400205,Pineapple Juice,5,true,33,1280,166395
400206,Watermelon Juice,6,true,66,2560,332805
400207,Blueberry Lemon Juice,7,true,2,81.25,10560
400208,Orange Apple Juice,8,true,0,15,1950
400209,Purple Power,9,true,0,21.25,2760
400210,Spinach Apple Pineapple Juice,10,true,50,1930,250905
400211,Detox & Clear Skin,11,true,0,31.25,4065
400212,Boost Immunity & glow,12,true,2,95,12345
400213,Carrot Apple Juice,13,true,0,20,2595
400214,"Apple, Orange & Lemon Juice",14,true,4,162.5,21120
400215,Tropical Sunrise,15,true,2,95,12345
400216,Pink Lemonade,16,true,2,102.5,13320
400301,Latte,1,true,0,25,3255
400302,Caramel Macchiato,2,true,1,65,8445
400303,Frappe,3,true,1,45,5850
400304,Iced Coffee Cream,4,true,2,105,13650
400305,Caramel Frappe,5,true,3,135,17550
400401,Grilled Sausage,1,true,0,2.5,330
400402,Grilled Ham,2,true,0,5,645
400403,Grilled Pork Belly,3,true,0,10,1305
400404,Grilled Pork Knuckle,4,true,0,20,2595
400405,"
Grilled Pork Ribs",5,true,1,40,5205
400406,Grilled Beef Ribs,6,true,4,160,20805
400407,Beef Steak & Potato,7,true,11,440,57195
400408,Grilled Chicken Wing,8,true,0,20,2595
400409,Grilled Chicken,9,true,2,80,10395
400410,Grilled Chicken Breast,10,true,0,10,1305
400411,Grilled Chicken Drumstick,11,true,1,40,5205
400412,Grilled Red Onion and Bell Pepper,12,true,8,345,44850
400413,Grilled Potato Cheese,13,true,17,680,88395
400414,Grilled Cauliflower,14,true,8,320,41595
400415,Grilled Eggplant,15,true,2,80,10395
400416,Grilled Squid,16,true,1,40,5205
